Step,Akṣara,Pitch_Waveform,Recoil_Burst,Vowel_Length,Kinetic_Intensity,Row_Load,Cumulative_Load
165,hā̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,4.0
166,na̠-,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,5.0
167,ssar,⚪🟢⚪,🟢🟢⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,7.0
168,va̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,8.0
169,mij,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,9.0
170,ja,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,10.0
171,ga̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,12.0
172,da,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,13.0
173,ya̠kṣ,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,14.0
174,magṃ,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,15.0
175,su̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,16.0
176,ma,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,17.0
177,nā̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,19.0
178,a,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,20.0
179,sa̍t,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,22.0
180,॥,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
181,adh,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,1.0
182,ya̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,3.0
183,vōc,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,5.0
184,ha,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,6.0
185,dad,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,7.0
186,hi,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,8.0
187,va̠k,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,9.0
188,tā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,11.0
189,pra̍t,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,13.0
190,ha̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,14.0
191,mō,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,16.0
192,da,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,17.0
193,iv,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,18.0
194,yō̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,21.0
195,bhi̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,22.0
196,ṣak,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,23.0
197,।,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
198,a,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,1.0
199,hīg̍śc,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,4.0
200,ha̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,5.0
201,sar,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,6.0
202,vā̎m,⚪⚪🔴,🟢🟢🔴,🟢🟢🟢🟢🟢🟢,🟢🟢🟢🟢🟢🟢🟢🟢🟢⚪,9.0,15.0
203,ja̠mb,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,16.0
204,ha,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,17.0
205,ya̠n-,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,18.0
206,thsar,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,19.0
207,vā̎śc,⚪⚪🔴,🟢🟢🔴,🟢🟢🟢🟢🟢🟢,🟢🟢🟢🟢🟢🟢🟢🟢🟢⚪,9.0,28.0
208,ha,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,29.0
209,yā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,31.0
210,tud,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,32.0
211,hā̠n,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,34.0
212,ya̍ḥ,⚪⚪🔴,🟢🟢🔴,🟢⚪⚪⚪⚪⚪,🟢🟢🟢🟢⚪⚪⚪⚪⚪⚪,4.0,38.0
213,॥,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
214,a̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,1.0
215,sa,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,2.0
216,u,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,3.0
217,yas,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,4.0
218,tā̠m,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,6.0
219,rō,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,8.0
220,a̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,10.0
221,ru̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,11.0
222,ṇa,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,12.0
223,u̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,13.0
224,ta,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,14.0
225,ba̠bh,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,15.0
226,rus,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,16.0
227,su̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,18.0
228,ma̠ṅ,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,19.0
229,ga,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,20.0
230,la̍ḥ,⚪⚪🔴,🟢🟢🔴,🟢⚪⚪⚪⚪⚪,🟢🟢🟢🟢⚪⚪⚪⚪⚪⚪,4.0,24.0
231,।,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
232,yē,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,2.0
233,chē̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,4.0
234,māgṃ,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,6.0
235,ru̠d,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,7.0
236,rā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,9.0
237,a̠b,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,10.0
238,hi,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,11.0
239,tō̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,14.0
240,di̠k,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,15.0
241,ṣu,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,16.0
242,śri̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,17.0
243,tā-,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,19.0
244,ssa̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,21.0
245,has,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,22.0
246,ra̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,23.0
247,śō-,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,25.0
248,'va,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,26.0
249,i̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,28.0
250,ṣā̠gṃ̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,30.0
251,hē,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,32.0
252,ḍa̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,34.0
253,ī,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,36.0
254,ma,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,37.0
255,hē,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,39.0
256,॥,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
257,a̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,1.0
258,sa,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,2.0
259,u,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,3.0
260,yō̍-,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,6.0
261,'va̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,7.0
262,sar,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,8.0
263,pa̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,10.0
264,ti̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,11.0
265,nī,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,13.0
266,la̍g,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,15.0
267,rī,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,17.0
268,vō̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,19.0
269,vi,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,20.0
270,lō̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,23.0
271,hi,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,24.0
272,taḥ,⚪🟢⚪,🟢🟢🔴,🟢⚪⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,27.0
273,।,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
274,u̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,1.0
275,ta,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,2.0
276,i,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,3.0
277,na̍-,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,5.0
278,ṅgō̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,7.0
279,pā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,9.0
280,a̍dṛ,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,11.0
281,śa̠n,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,12.0
282,nadṛ̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,14.0
283,śan,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,15.0
284,nu,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,16.0
285,da,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,17.0
286,hā̠r,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,19.0
287,ya̍ḥ,⚪⚪🔴,🟢🟢🔴,🟢⚪⚪⚪⚪⚪,🟢🟢🟢🟢⚪⚪⚪⚪⚪⚪,4.0,23.0
288,।,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
289,u̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,1.0
290,ta,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,2.0
291,i,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,3.0
292,na̠ṃ,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,4.0
293,viś,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,5.0
294,vā̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,8.0
295,bhū̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,10.0
296,tā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,12.0
297,ni̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,13.0
298,sa,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,14.0
299,dṛ̠ṣṭō,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,16.0
300,mṛ̍ḍa,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,18.0
301,yā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,20.0
302,ti,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,21.0
303,naḥ,⚪🟢⚪,🟢🟢🔴,🟢⚪⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,24.0
304,॥,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
305,na,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,1.0
306,mō̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,4.0
307,as,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,5.0
308,tu̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,6.0
309,nī,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,8.0
310,la̍g,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,10.0
311,rī,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,12.0
312,vā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,14.0
313,ya,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,15.0
314,sa,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,16.0
315,has,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,17.0
316,rā̠k,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,19.0
317,ṣā,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,21.0
318,ya̍,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,23.0
319,mī̠ḍ,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,25.0
320,hu,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,26.0
321,ṣē̎,⚪⚪🔴,🟢🟢🔴,🟢🟢🟢🟢🟢🟢,🟢🟢🟢🟢🟢🟢🟢🟢🟢⚪,9.0,35.0
322,।,⚫⚫⚫,⚫⚫⚫,⚫⚫⚫⚫⚫⚫,⚫⚫⚫⚫⚫⚫⚫⚫⚫⚫,0.0,0.0
323,at,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,1.0
324,hō̠,🟡⚪⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,3.0
325,yē,⚪🟢⚪,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,5.0
326,a̍s,⚪⚪🔴,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢🟢⚪⚪⚪⚪⚪⚪⚪⚪,2.0,7.0
327,ya̠,🟡⚪⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,8.0
328,sat,⚪🟢⚪,🟢⚪⚪,🟢⚪⚪⚪⚪⚪,🟢⚪⚪⚪⚪⚪⚪⚪⚪⚪,1.0,9.0
329,vā̍,⚪⚪🔴,🟢⚪⚪,🟢🟢⚪⚪⚪⚪,🟢🟢🟢⚪⚪⚪⚪⚪⚪⚪,3.0,12.0
